,Mean,Standard Deviation,Stage Number,Rank,Best Rank
488,42.5,42.691724412739916,12,10,5
489,48.083333333333336,44.32918213647629,12,11,6
490,76.75,40.28880117352712,12,12,4
491,76.58333333333333,40.56159582111576,12,13,5
492,61.916666666666664,45.0693139015401,12,14,6
493,84.5,34.659053651246744,12,15,7
494,92.08333333333333,26.256612923646916,12,16,5
495,77.08333333333333,39.69563018211898,12,17,7
496,92.25,25.703842125254347,12,18,7
497,71.58333333333333,36.286954343889974,12,19,7
498,92.33333333333333,25.427456726058068,12,20,8
499,92.33333333333333,25.427456726058068,12,21,8
500,92.33333333333333,25.427456726058068,12,22,8
501,92.33333333333333,25.427456726058068,12,23,8
502,92.33333333333333,25.427456726058065,12,24,8
503,84.91666666666667,33.727976353301855,12,25,9
504,92.41666666666667,25.151071326861782,12,26,9
505,92.41666666666667,25.151071326861782,12,27,9
506,92.41666666666667,25.151071326861782,12,28,9
507,85.0,33.54101966249684,12,29,10
508,85.0,33.54101966249684,12,30,10
509,92.5,24.8746859276655,12,31,10
510,92.5,24.8746859276655,12,32,10
511,92.5,24.8746859276655,12,33,10
512,88.5,26.979930812859152,12,34,11
513,100.0,0.0,12,35,100
514,93.5,21.558061137310098,12,36,22
515,8.384615384615385,16.07453055440123,13,1,1
516,18.846153846153847,34.93696775589335,13,2,1
517,7.615384615384615,10.702540759007876,13,3,1
518,29.923076923076923,39.72881445783214,13,4,2
519,12.538461538461538,25.287927751020415,13,5,3
520,58.76923076923077,46.19549402960264,13,6,1
521,18.53846153846154,17.305469942790584,13,7,2
522,70.3076923076923,44.54105213669505,13,8,3
523,56.15384615384615,42.869831877523154,13,9,3
524,32.76923076923077,37.425112601760304,13,10,5
525,85.3076923076923,34.48385266577034,13,11,1
526,64.46153846153847,45.00190659997792,13,12,4
527,67.07692307692308,42.87631861791369,13,13,4
528,71.46153846153847,42.80836615683611,13,14,7
529,64.84615384615384,44.47098648617157,13,15,7
530,65.76923076923077,43.371656547980464,13,16,7
531,78.84615384615384,38.62610945152186,13,17,7
532,65.07692307692308,44.178765415179576,13,18,8
533,78.84615384615384,38.6221262886089,13,19,8
534,85.92307692307692,33.01389343539041,13,20,8
535,92.76923076923077,25.048119370996073,13,21,6
536,92.76923076923077,25.04811937099607,13,22,6
537,87.3076923076923,30.049663035060977,13,23,7
538,92.84615384615384,24.781650015985473,13,24,7
539,92.84615384615384,24.781650015985473,13,25,7
540,79.07692307692308,38.200808566677345,13,26,9
541,92.92307692307692,24.515180660974874,13,27,8
542,93.38461538461539,22.9163645309113,13,28,14
543,93.0,24.24871130596428,13,29,9
544,93.0,24.24871130596428,13,30,9
545,93.0,24.24871130596428,13,31,9
546,93.0,24.24871130596428,13,32,9
547,93.0,24.24871130596428,13,33,9
548,86.15384615384616,32.4721091064699,13,34,10
549,93.07692307692308,23.982241950953686,13,35,10
550,93.07692307692308,23.982241950953686,13,36,10
551,93.07692307692308,23.982241950953686,13,37,10
552,94.53846153846153,18.919324205752353,13,38,29
553,100.0,0.0,13,39,100
